marca,modelo,emplacados,acumulado_anual,data
MINI,COOPER,74,243,2023-12-2
JAC,E-JS1,34,125,2023-12-2
FIAT,500E,4,28,2023-12-2
GM,CRUZE_HB,41,126,2023-12-2
NISSAN,LEAF,5,99,2023-12-2
AUDI,A3,20,98,2023-12-2
MBENZ,CLASSE_A,0,15,2023-12-2
BMW,118i,5,10,2023-12-2
BMW,I3,0,10,2023-12-2
FIAT,CRONOS,3701,11277,2023-12-2
HYUNDAI,HB20S,1916,6723,2023-12-2
VW,VOYAGE,1,2063,2023-12-2
RENAULT,LOGAN,142,722,2023-12-2
FIAT,SIENA,3,15,2023-12-2
TOYOTA,ETIOS_SEDAN,0,2,2023-12-2
FORD,FIESTA_SEDAN,0,1,2023-12-2
FORD,KA_SEDAN,0,1,2023-12-2
GM,CLASSIC,0,1,2023-12-2
GM,CORSA_SEDAN,0,1,2023-12-2
GM,ONIX_PLUS,5295,23686,2023-12-2
VW,VIRTUS,2091,4757,2023-12-2
HONDA,CITY,964,4387,2023-12-2
TOYOTA,YARIS_SEDAN,891,3695,2023-12-2
NISSAN,VERSA,632,2056,2023-12-2
FORD,CORCEL,1,5,2023-12-2
TOYOTA,COROLLA,3261,12210,2023-12-2
NISSAN,SENTRA,450,909,2023-12-2
GM,CRUZE_SEDAN,117,335,2023-12-2
HONDA,CIVIC,33,308,2023-12-2
VW,JETTA,61,274,2023-12-2
CAOA_CHERY,ARRIZO_6,71,240,2023-12-2
AUDI,A5,25,164,2023-12-2
AUDI,A3_SEDAN,41,158,2023-12-2
MBENZ,CLA45,7,51,2023-12-2
BMW,420I,8,37,2023-12-2
BMW,218I,4,33,2023-12-2
MBENZ,CLA35,5,27,2023-12-2
JAC,E-J7,6,20,2023-12-2
KIA,CERATO,0,9,2023-12-2
MBENZ,CLASSE_A,4,5,2023-12-2
HYUNDAI,IONIQ,0,1,2023-12-2
RENAULT,FLUENCE,0,1,2023-12-2
TOYOTA,PRIUS,0,1,2023-12-2
VW,SANTANA,0,1,2023-12-2
